hf22_tgwt,cond_sur,cond_lcr,cond_mcr,cond_uma,cond_man,geop_mag,geop_grv,geop_dtb,eqi200n5,eqd200n5,geod_shr,geod_dil,geod_2nd,vent_ing,dTrend005,dTrend03,dTrend01,hfqc_tRise,fault01,fault02,fault03,fault04,fault05,fault06,fault07,fault08,faultAl,hfqc_resid
87.1228027,2.8554101,4.05513,3.2451899,3.94976,4.2748499,-101.8430023,-6.4808202,1181.52002,387.7000122,444.5,13.3000002,8.0,25.2999992,44379.80078,18.6177998,42.3767014,31.3171005,0.0138422,37312.89844,11036.90039,11036.90039,11036.90039,1820.030029,1820.030029,1820.030029,1820.030029,1820.030029,154.9308246
71.6743011,3.1319599,3.6561301,3.1217899,3.81775,4.2702098,-132.9199982,-8.9329205,34.7439995,131.3999939,0.0,0.4,0.5,0.9,101151.0,336.1080017,401.5939941,378.2929993,0.0050471,267825.0,31690.90039,8003.910156,6973.160156,2371.709961,2371.709961,2371.709961,2371.709961,2371.709961,-20.67660986
95.3514023,3.22205,3.9184899,3.3383501,3.8749199,4.2169499,13.8046999,6.4074101,160.4889984,1059.900024,266.0,0.0,2.9000001,2.5,59078.89844,-4.2316899,-91.4618988,-33.3627014,0.0265977,73267.10156,12442.40039,12442.40039,6754.629883,6754.629883,6754.629883,6754.629883,6754.629883,6754.629883,2689.287212
81.5681,2.43782,4.01442,2.9727399,3.7247701,4.2344098,-70.5786972,-24.7821999,329.7200012,3936.800049,1574.099976,29.6000004,26.7000008,64.0,24405.40039,-47.0609016,-60.4547997,-55.3678017,0.0017352,9956.150391,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,-31.56814309
81.9072037,2.6468799,4.23207,3.25264,3.5646601,4.0854001,-76.4541016,-17.8216,388.9079895,2641.699951,268.2999878,12.8000002,7.3000002,24.0,50010.0,-368.0169983,-353.82901,-343.9119873,0.0052878,2358.5,2358.5,2358.5,2358.5,2358.5,2358.5,2358.5,2358.5,2358.5,18.41241146
86.2750015,2.63328,3.8099101,2.9976499,3.7480199,4.14642,-25.7366009,-22.0611,759.5360107,515.2000122,0.0,0.1,2.8,2.9000001,38374.0,-245.7489929,-148.0910034,-212.529007,0.0306646,6408.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,-2.24728446
75.7254028,2.9021001,4.5399499,3.4145899,3.98406,4.3292499,-225.1159973,-12.3584003,2632.159912,1611.699951,1465.800049,7.0,11.1999998,19.5,60051.0,-193.4620056,-228.4369965,-195.6210022,0.0131231,64855.60156,15700.2998,10793.5,10793.5,2500.0,2500.0,2500.0,2500.0,2500.0,7.986655871
71.1992035,2.89382,4.0702,3.2130899,3.9744501,4.2416401,-80.4223022,-27.5778999,562.9439697,1297.0,216.3999939,0.9,2.3,3.2,53297.5,-166.3049927,-2.31177,-123.8789978,0.0035811,138315.0,29251.09961,13383.7998,13383.7998,2462.209961,2462.209961,2462.209961,2462.209961,2462.209961,-12.19910051
73.8757019,3.0371001,4.17308,2.9359701,3.8266499,4.1813698,-85.6134033,21.2768993,189.8820038,1398.199951,606.0,1.6,5.1999998,7.0,3579.459961,-222.302002,-359.2990112,-302.1080017,0.0266554,314653.0,1457.73999,1457.73999,1457.73999,1457.73999,1457.73999,1457.73999,1457.73999,1457.73999,-11.10172893
80.5653,2.69839,4.3660998,3.4126599,4.0300698,4.2304802,74.8473969,-20.4843998,664.4329834,629.0999756,281.7999878,26.7999992,16.6000004,50.5,54337.5,-62.3651009,-165.5839996,-96.1339035,0.0177747,38978.39844,7267.220215,7267.220215,7267.220215,1820.030029,1820.030029,1820.030029,1820.030029,1820.030029,77.42050541
68.3363037,3.09712,4.0143299,3.0876501,4.0696201,4.1826801,187.3959961,1.55865,1.3765301,238.1000061,99.5,2.4000001,-1.5,4.5,4301.160156,-117.8880005,-180.6289978,-149.9069977,0.0180407,185414.0,39800.30078,10198.0,10198.0,500.0,500.0,500.0,500.0,500.0,10.66478035
79.9766006,2.9353199,3.67872,2.8957,3.85729,4.2571702,-37.5755997,5.3659101,5.8873801,653.7999878,212.6999969,0.0,1.4,1.4,140201.0,61.6725006,46.3438988,59.360199,0.0108476,185770.0,27822.0,1414.209961,1414.209961,353.553009,353.553009,353.553009,353.553009,353.553009,197.534213
86.5360031,3.1152201,4.76547,4.4347301,3.7560899,4.1996899,-62.1986008,-22.4335003,1911.030029,248.6999969,305.2999878,8.8000002,7.5,18.6000004,45352.10156,-138.121994,-122.6460037,-123.9789963,0.0142161,32202.5,4670.390137,4670.390137,4670.390137,4670.390137,4670.390137,4670.390137,4670.390137,4670.390137,55.24349379
76.1472015,2.7019999,4.3896399,2.7171099,4.17662,4.2189002,281.3970032,1.5269901,2.44419,710.5,875.7999878,2.0,4.8000002,7.0,2000.0,252.0850067,219.5899963,244.1080017,0.0165574,355163.0,19982.80078,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,-34.4130881
84.7466965,3.0183899,3.7360401,3.5573201,3.6189499,4.1752501,-150.3820038,9.3050499,170.1710052,361.1000061,0.0,2.4000001,4.9000001,7.5999999,108365.0,-130.9279938,-77.5208969,-93.4045029,0.0266609,92729.79688,29807.69922,6604.919922,6604.919922,2474.870117,2474.870117,2474.870117,2474.870117,2474.870117,-3.199096646
72.5062027,3.05498,3.6981599,2.28672,3.9314101,4.2129202,-324.6929932,-10.2542,367.9330139,4992.299805,1844.199951,1.7,5.9000001,7.6999998,6087.899902,-52.528801,65.3674011,17.8889008,0.017591,351890.0,17553.5,9953.009766,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,3567.510245
83.361702,4.6542301,3.99265,2.18156,3.63151,4.0720401,-175.5330048,-16.9790993,1160.900024,767.7999878,420.0,1.0,10.1999998,11.3000002,70204.20313,-365.9419861,-422.9140015,-391.3699951,0.0178659,12554.90039,12554.90039,6264.979981,6264.979981,6264.979981,6264.979981,6264.979981,6264.979981,6264.979981,6.715798752
87.3104019,3.7612,3.7546301,3.0962801,3.6333301,4.1619,25.0165005,-8.0603304,522.5980225,443.2999878,371.7999878,16.6000004,3.2,25.7000008,5062.109863,-31.1847,-170.1560059,-78.5393982,0.0201572,15027.09961,2015.560059,2015.560059,2015.560059,2015.560059,2015.560059,2015.560059,2015.560059,2015.560059,-19.40017633
90.0286026,2.83515,3.9520299,2.8734601,4.0563898,4.2801299,135.1629944,6.4826002,1.69714,64.8000031,0.0,0.9,0.4,1.5,90424.70313,-110.473999,-1.6813999,-68.4670029,0.0043124,178200.0,46567.80078,46567.80078,46567.80078,7603.450195,7603.450195,7603.450195,7603.450195,7603.450195,-11.12384339
89.2910004,2.63782,3.9304099,2.8042099,3.9668,4.2537498,-88.7164993,-11.2441998,1569.170044,287.7999878,77.1999969,0.4,0.7,1.2,96480.89844,-139.5,-51.1376991,-125.1100006,0.0021653,143875.0,8139.410156,8139.410156,8139.410156,3500.0,3500.0,3500.0,3500.0,3500.0,105.7086779
90.5907974,2.6790199,3.7214401,2.5885799,3.9628301,4.2778301,-15.1786003,-6.5272298,583.8099976,368.0,0.0,0.0,1.3,1.1,132841.0,-203.9429932,-173.5630035,-181.7359924,0.0096595,148871.0,9450.530273,9450.530273,9450.530273,9450.530273,9450.530273,9450.530273,9450.530273,9450.530273,8.791367729
86.7144012,3.1966,4.68678,4.4347301,3.80056,4.2179699,-65.706398,-17.8306007,1461.5,293.3999939,119.0,9.3999996,7.1999998,19.1000004,41930.0,-82.6785965,-64.7665024,-63.9306984,0.0131624,30936.40039,4808.850098,4808.850098,4808.850098,1118.030029,1118.030029,1118.030029,1118.030029,1118.030029,71.63546249
84.0441971,2.89748,4.19662,3.4407401,3.8150401,4.1820798,-79.2969971,1.75571,81.1922989,24.2999992,12.0,0.5,0.3,1.0,32163.59961,-33.0038986,21.7654991,1.7876,0.010289,239532.0,19584.80078,19584.80078,10960.2002,10960.2002,10960.2002,10960.2002,10960.2002,10960.2002,232.4049393
75.3212967,2.9669299,3.72545,2.75436,3.80252,4.1929898,-114.5019989,-5.64749,981.2470093,7041.399902,1229.300049,1.6,5.0,6.8000002,11600.09961,-117.4820023,-231.6840057,-171.2030029,0.0366775,327399.0,12772.0,5297.399902,250.0,250.0,250.0,250.0,250.0,250.0,25.12772449
62.6329002,3.20099,4.1668701,3.2685699,4.0420899,4.12958,-350.0690002,-18.8365002,32.4696999,499.1000061,114.5,0.0,-5.4000001,3.9000001,14443.90039,-87.1919022,-164.0540009,-107.5230026,0.0183458,241842.0,5942.430176,5942.430176,5942.430176,5836.310059,5836.310059,5836.310059,5836.310059,5836.310059,-41.61435027
77.0078964,2.75365,4.1558499,1.66991,4.1155601,4.2255602,56.3834,3.12133,348.5610046,1143.0,270.3999939,2.2,4.0,6.5999999,30694.09961,0.4375,-141.9369965,-31.7798004,0.0154023,399673.0,27841.09961,6082.759766,4123.109863,4123.109863,4123.109863,4123.109863,4123.109863,4123.109863,282.8054642
80.4941025,3.12238,4.5170298,3.9514699,4.0149598,4.2894101,-138.6940002,8.6752796,732.4609985,460.6000061,167.1999969,2.9000001,4.3000002,7.8000002,75985.60156,-208.9080048,-353.6220093,-283.8510132,0.0216981,76877.29688,13107.7002,6896.560059,6896.560059,6896.560059,6896.560059,6896.560059,6896.560059,1274.75,46.90807086
77.2947006,3.0420201,3.72545,2.66116,3.80252,4.1872702,-140.5529938,-10.9628,2401.290039,4950.100098,786.4000244,1.6,4.5999999,6.4000001,12013.0,-127.2300034,-258.8139954,-179.2359924,0.0387164,324601.0,12522.5,10407.2998,4930.77002,4930.77002,559.0170288,559.0170288,559.0170288,559.0170288,1338.095462
78.5747986,2.3383601,4.28754,1.92179,3.9658401,4.2203798,80.1719971,0.162839,21.5799999,263.3999939,299.3999939,1.5,2.4000001,4.1999998,47539.5,-27.8108006,-50.0359993,-18.5144997,0.0048537,380793.0,35592.30078,13334.59961,4373.209961,4373.209961,4138.240234,4138.240234,4138.240234,4138.240234,-15.8155732
99.770401,1.37611,5.1428499,2.56652,3.9840901,4.27951,52.1053009,-2.3577399,862.4660034,53.2000008,116.3000031,0.2,1.3,1.5,52404.69922,-282.9370117,-180.1950073,-252.8419952,0.0073078,68356.60156,62004.5,62004.5,13550.7998,13550.7998,13550.7998,13550.7998,13550.7998,1750.0,276.4719164
86.4653015,2.0127599,4.6017098,4.3713198,3.8399401,4.2379699,-146.6880035,-8.5778503,648.2020264,335.6000061,178.3000031,10.3999996,8.1999998,21.3999996,42933.10156,14.1208,49.0555,43.4667015,0.0125129,35278.39844,790.5689697,790.5689697,790.5689697,250.0,250.0,250.0,250.0,250.0,117.391809
85.5689011,2.98667,3.72493,2.5302801,3.6310201,4.1206398,-203.9980011,-5.6233301,436.3190002,1783.0,333.0,29.7999992,2.0999999,43.7000008,36750.89844,-216.1390076,-269.4750061,-224.3119965,0.0221926,1820.030029,1820.030029,1820.030029,1820.030029,1820.030029,1820.030029,1820.030029,1820.030029,1820.030029,-14.44012011
94.7208023,2.5389199,3.9500599,2.90236,3.9915099,4.2291002,-27.0510998,-1.36985,211.4259949,684.0999756,197.3999939,0.0,1.3,1.1,76000.39844,-121.0179977,-213.3090057,-148.8659973,0.0094044,47584.80078,14002.2002,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,22.29089086
82.1317978,2.90802,4.4019399,3.2014899,4.1308699,4.3840499,-72.3211975,2.0606501,43.1064987,9251.700195,1446.199951,12.1999998,11.0,26.2000008,52510.10156,-126.1159973,-227.4109955,-159.6690063,0.0239647,29813.0,4451.120117,4451.120117,4451.120117,4451.120117,4451.120117,4451.120117,4451.120117,4451.120117,15.88531673
73.2565002,3.2060101,3.66418,2.28672,3.8858399,4.2129202,-448.3619995,-9.39359,394.3169861,4548.799805,2393.5,1.6,5.5999999,7.4000001,3363.409912,-131.6790009,-79.4343033,-99.108902,0.0214748,347111.0,21751.40039,10335.0,0.0,0.0,0.0,0.0,0.0,0.0,135.9523061
82.5578003,1.49431,4.3070102,2.11518,4.2107701,4.2635598,-41.5043983,-30.9372005,660.0430298,6293.799805,1491.0,34.2999992,3.3,50.5999985,24282.19922,-457.118988,-437.1409912,-476.9339905,0.0135657,36146.39844,2236.070068,250.0,250.0,250.0,250.0,250.0,250.0,250.0,-15.57323934
68.8927002,3.02367,3.5741601,2.86957,3.5459199,3.8863001,-265.9649963,-29.4846992,1.02169,5802.100098,204985.0,20.7999992,-3.3,31.8999996,1581.140015,146.7140045,570.6339722,282.8039856,0.0141918,105795.0,25614.90039,7566.370117,7566.370117,3579.459961,3579.459961,3579.459961,3579.459961,3579.459961,16.10194129
86.2990036,2.3954899,4.1675501,2.8784001,3.648,4.0714002,71.9580994,-10.3149996,498.7609863,1280.300049,785.4000244,0.0,7.4000001,7.5,72277.70313,-322.9530029,-457.3009949,-395.4119873,0.0204774,11845.40039,11845.40039,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,3177.108549
